章番号,問題番号,分類名称,問題,選択肢１,選択肢２,選択肢３,選択肢４,選択肢５,解答番号,解答,解説,類似問題回避番号
SECT002,Q0550,所得税２,次のうち正しいものを選びなさい。,配当所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できる,不動産所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できない,株式の譲渡所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できる,一時所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できない,雑所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できない,1,配当所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できる,損益通算とは課税標準を計算する場合において、不動産所得の金額、事業所得の金額、山林所得の金額または譲渡所得の金額の計算上生じた損失の金額があるときに、これを他の各種所得の金額から控除することをいう。#なお、株式の譲渡所得は申告分離課税されるため、総合課税される所得間の損益通算の対象には含まれず、他の株式の譲渡損失との内部通算もしくは一定の上場株式等の譲渡損失が生じた場合につき行うことが出来る申告分離課税を選択した上場株式等の配当所得との損益通算以外は認められていない。,10
SECT002,Q0560,所得税２,次のうち正しいものを選びなさい。,不動産所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できる,配当所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できない,株式の譲渡所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できる,一時所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できない,雑所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できない,1,不動産所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できる,損益通算とは課税標準を計算する場合において、不動産所得の金額、事業所得の金額、山林所得の金額または譲渡所得の金額の計算上生じた損失の金額があるときに、これを他の各種所得の金額から控除することをいう。#なお、株式の譲渡所得は申告分離課税されるため、総合課税される所得間の損益通算の対象には含まれず、他の株式の譲渡損失との内部通算もしくは一定の上場株式等の譲渡損失が生じた場合につき行うことが出来る申告分離課税を選択した上場株式等の配当所得との損益通算以外は認められていない。,10
SECT002,Q0570,所得税２,次のうち正しいものを選びなさい。,株式の譲渡所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できない。,不動産所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できない,配当所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できない,一時所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できない,雑所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できない,1,株式の譲渡所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できない。,損益通算とは課税標準を計算する場合において、不動産所得の金額、事業所得の金額、山林所得の金額または譲渡所得の金額の計算上生じた損失の金額があるときに、これを他の各種所得の金額から控除することをいう。#なお、株式の譲渡所得は申告分離課税されるため、総合課税される所得間の損益通算の対象には含まれず、他の株式の譲渡損失との内部通算もしくは一定の上場株式等の譲渡損失が生じた場合につき行うことが出来る申告分離課税を選択した上場株式等の配当所得との損益通算以外は認められていない。,10
SECT002,Q0580,所得税２,次のうち正しいものを選びなさい。,一時所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できる,不動産所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できない,株式の譲渡所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できる,配当所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できない,雑所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できない,1,一時所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できる,損益通算とは課税標準を計算する場合において、不動産所得の金額、事業所得の金額、山林所得の金額または譲渡所得の金額の計算上生じた損失の金額があるときに、これを他の各種所得の金額から控除することをいう。#なお、株式の譲渡所得は申告分離課税されるため、総合課税される所得間の損益通算の対象には含まれず、他の株式の譲渡損失との内部通算もしくは一定の上場株式等の譲渡損失が生じた場合につき行うことが出来る申告分離課税を選択した上場株式等の配当所得との損益通算以外は認められていない。,10
SECT002,Q0590,所得税２,次のうち正しいものを選びなさい。,雑所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できる,不動産所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できない,株式の譲渡所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できる,一時所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できない,配当所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できない,1,雑所得の金額は物品販売業にかかる事業所得の損失の金額と、原則として損益通算できる,損益通算とは課税標準を計算する場合において、不動産所得の金額、事業所得の金額、山林所得の金額または譲渡所得の金額の計算上生じた損失の金額があるときに、これを他の各種所得の金額から控除することをいう。#なお、株式の譲渡所得は申告分離課税されるため、総合課税される所得間の損益通算の対象には含まれず、他の株式の譲渡損失との内部通算もしくは一定の上場株式等の譲渡損失が生じた場合につき行うことが出来る申告分離課税を選択した上場株式等の配当所得との損益通算以外は認められていない。,10
SECT002,Q0600,所得税２,次のうち正しいものを選びなさい。,健康増信用のビタミン剤の購入費用は医療費控除の対象にならない,医師による診療費用は医療費控除の対象にならない,妻の美容整形の費用は医療費控除の対象になる,医師に対する贈答品の購入費用は医療費控除の対象になる,疫病予防のためのマスクの購入費用は医療費控除の対象になる,1,健康増信用のビタミン剤の購入費用は医療費控除の対象にならない,医療費控除の対象となる医療費は次に掲げるものの対価のうち、その症状に応じて一般的に支出される水準を著しく超えない部分の金額である。#・医師または歯科医師による診療または治療#治療また療養に必要な医薬品の購入#・病院、診療所または助産所へ収容されるための人的な役務の提供の対価#・あん摩マッサージ指圧師、はり師、柔道整復師などにより施術#・保健師、看護師、または准看護師による療養上の世話#・助産師による分娩の介助#・介護福祉士が診療の補助として行う費用の自己負担分#なお、疾病対策マスク等のような疾病の予防、または健康増進のために供されるものの購入対価、食事療法の食費等は、医療費控除の対象とされない。,11
SECT002,Q0610,所得税２,次のうち正しいものを選びなさい。,医師による診療費用は医療費控除の対象になる,健康増信用のビタミン剤の購入費用は医療費控除の対象になる,妻の美容整形の費用は医療費控除の対象になる,医師に対する贈答品の購入費用は医療費控除の対象になる,疫病予防のためのマスクの購入費用は医療費控除の対象になる,1,医師による診療費用は医療費控除の対象になる,医療費控除の対象となる医療費は次に掲げるものの対価のうち、その症状に応じて一般的に支出される水準を著しく超えない部分の金額である。#・医師または歯科医師による診療または治療#治療また療養に必要な医薬品の購入#・病院、診療所または助産所へ収容されるための人的な役務の提供の対価#・あん摩マッサージ指圧師、はり師、柔道整復師などにより施術#・保健師、看護師、または准看護師による療養上の世話#・助産師による分娩の介助#・介護福祉士が診療の補助として行う費用の自己負担分#なお、疾病対策マスク等のような疾病の予防、または健康増進のために供されるものの購入対価、食事療法の食費等は、医療費控除の対象とされない。,11
SECT002,Q0620,所得税２,次のうち正しいものを選びなさい。,妻の美容整形の費用は医療費控除の対象にならない,医師による診療費用は医療費控除の対象にならない,健康増信用のビタミン剤の購入費用は医療費控除の対象になる,医師に対する贈答品の購入費用は医療費控除の対象になる,疫病予防のためのマスクの購入費用は医療費控除の対象になる,1,妻の美容整形の費用は医療費控除の対象にならない,医療費控除の対象となる医療費は次に掲げるものの対価のうち、その症状に応じて一般的に支出される水準を著しく超えない部分の金額である。#・医師または歯科医師による診療または治療#治療また療養に必要な医薬品の購入#・病院、診療所または助産所へ収容されるための人的な役務の提供の対価#・あん摩マッサージ指圧師、はり師、柔道整復師などにより施術#・保健師、看護師、または准看護師による療養上の世話#・助産師による分娩の介助#・介護福祉士が診療の補助として行う費用の自己負担分#なお、疾病対策マスク等のような疾病の予防、または健康増進のために供されるものの購入対価、食事療法の食費等は、医療費控除の対象とされない。,11
SECT002,Q0630,所得税２,次のうち正しいものを選びなさい。,医師に対する贈答品の購入費用は医療費控除の対象にならない,医師による診療費用は医療費控除の対象にならない,妻の美容整形の費用は医療費控除の対象になる,健康増信用のビタミン剤の購入費用は医療費控除の対象になる,疫病予防のためのマスクの購入費用は医療費控除の対象になる,1,医師に対する贈答品の購入費用は医療費控除の対象にならない,医療費控除の対象となる医療費は次に掲げるものの対価のうち、その症状に応じて一般的に支出される水準を著しく超えない部分の金額である。#・医師または歯科医師による診療または治療#治療また療養に必要な医薬品の購入#・病院、診療所または助産所へ収容されるための人的な役務の提供の対価#・あん摩マッサージ指圧師、はり師、柔道整復師などにより施術#・保健師、看護師、または准看護師による療養上の世話#・助産師による分娩の介助#・介護福祉士が診療の補助として行う費用の自己負担分#なお、疾病対策マスク等のような疾病の予防、または健康増進のために供されるものの購入対価、食事療法の食費等は、医療費控除の対象とされない。,11
SECT002,Q0640,所得税２,次のうち正しいものを選びなさい。,疫病予防のためのマスクの購入費用は医療費控除の対象にならない,医師による診療費用は医療費控除の対象にならない,妻の美容整形の費用は医療費控除の対象になる,医師に対する贈答品の購入費用は医療費控除の対象になる,健康増信用のビタミン剤の購入費用は医療費控除の対象になる,1,疫病予防のためのマスクの購入費用は医療費控除の対象にならない,医療費控除の対象となる医療費は次に掲げるものの対価のうち、その症状に応じて一般的に支出される水準を著しく超えない部分の金額である。#・医師または歯科医師による診療または治療#治療また療養に必要な医薬品の購入#・病院、診療所または助産所へ収容されるための人的な役務の提供の対価#・あん摩マッサージ指圧師、はり師、柔道整復師などにより施術#・保健師、看護師、または准看護師による療養上の世話#・助産師による分娩の介助#・介護福祉士が診療の補助として行う費用の自己負担分#なお、疾病対策マスク等のような疾病の予防、または健康増進のために供されるものの購入対価、食事療法の食費等は、医療費控除の対象とされない。,11
SECT002,Q0650,所得税２,次のうち、所有資産について損失を受けた際に納税者の総所得金額から一定額控除することができる損失を選びなさい。,家屋老朽化による損壊で生じた損失,窃盗による棚卸資産の損失,オレオレ詐欺による資産の損失,債務履行によって生じた資産の損失,天災などによる家財道具の損失,1,家屋老朽化による損壊で生じた損失,雑損控除とは災害、盗難、横領により、納税者または納税者と生計を一にする配偶者その他親族で、その年分の総所得金額等が基礎控除額(38万円)以下の人が所有する資産について損失を受けた場合に、一定の金額を納税者の総所得金額等から控除する制度。,12
SECT002,Q0660,所得税２,次の記述のうち、正しいものを選びなさい。,青色申告により青色事業専従者給与を必要経費に算入可能である,青色申告により棚卸資産の評価法を低価法に選択できる,青色申告により純損失の繰戻還付が可能となる,青色申告によって青色申告特別控除が受けられる,青色申告をしても配偶者特別控除は受けられない,1,青色申告により青色事業専従者給与を必要経費に算入可能である,青色申告の特典のうち、所得計算上の特典の主なものを挙げると次のものがある。#・青色事業専従者給与の必要経費算入#・家事関連費の必要経費算入#現金主義に寄る所得計算の特例#貸倒引当金、返品調整引当金、退職給与引当金の繰入額の必要経費算入#・棚卸資産の低価法の採用#耐用年数の短縮,13
SECT002,Q0670,所得税２,次の記述のうち、正しいものを選びなさい。,青色申告により棚卸資産の評価法を低価法に選択できる,青色申告をしても青色事業専従者給与を必要経費に算入できない。,青色申告により純損失の繰戻還付が可能となる,青色申告によって青色申告特別控除が受けられる,青色申告をしても配偶者特別控除は受けられない,1,青色申告により棚卸資産の評価法を低価法に選択できる,青色申告の特典のうち、所得計算上の特典の主なものを挙げると次のものがある。#・青色事業専従者給与の必要経費算入#・家事関連費の必要経費算入#現金主義に寄る所得計算の特例#貸倒引当金、返品調整引当金、退職給与引当金の繰入額の必要経費算入#・棚卸資産の低価法の採用#耐用年数の短縮,13
SECT002,Q0680,所得税２,次の記述のうち、正しいものを選びなさい。,青色申告により純損失の繰戻還付が可能となる,青色申告により棚卸資産の評価法を低価法に選択できる,青色申告をしても青色事業専従者給与を必要経費に算入できない。,青色申告によって青色申告特別控除が受けられる,青色申告をしても配偶者特別控除は受けられない,1,青色申告により純損失の繰戻還付が可能となる,青色申告の特典のうち、所得計算上の特典の主なものを挙げると次のものがある。#・青色事業専従者給与の必要経費算入#・家事関連費の必要経費算入#現金主義に寄る所得計算の特例#貸倒引当金、返品調整引当金、退職給与引当金の繰入額の必要経費算入#・棚卸資産の低価法の採用#耐用年数の短縮,13
SECT002,Q0690,所得税２,次の記述のうち、正しいものを選びなさい。,青色申告によって青色申告特別控除が受けられる,青色申告により棚卸資産の評価法を低価法に選択できる,青色申告により純損失の繰戻還付が可能となる,青色申告をしても青色事業専従者給与を必要経費に算入できない。,青色申告をしても配偶者特別控除は受けられない,1,青色申告によって青色申告特別控除が受けられる,青色申告の特典のうち、所得計算上の特典の主なものを挙げると次のものがある。#・青色事業専従者給与の必要経費算入#・家事関連費の必要経費算入#現金主義に寄る所得計算の特例#貸倒引当金、返品調整引当金、退職給与引当金の繰入額の必要経費算入#・棚卸資産の低価法の採用#耐用年数の短縮,13
SECT002,Q0700,所得税２,次の記述のうち、正しいものを選びなさい。,青色申告をしても配偶者特別控除は受けられない,青色申告により棚卸資産の評価法を低価法に選択できる,青色申告により純損失の繰戻還付が可能となる,青色申告によって青色申告特別控除が受けられる,青色申告をしても青色事業専従者給与を必要経費に算入できない。,1,青色申告をしても配偶者特別控除は受けられない,青色申告の特典のうち、所得計算上の特典の主なものを挙げると次のものがある。#・青色事業専従者給与の必要経費算入#・家事関連費の必要経費算入#現金主義に寄る所得計算の特例#貸倒引当金、返品調整引当金、退職給与引当金の繰入額の必要経費算入#・棚卸資産の低価法の採用#耐用年数の短縮,13
SECT002,Q0710,所得税２,次の記述のうち、正しいものを選びなさい。,給与所得者がその年の給与の収入金額が2100万円である場合、年末に確定申告をしなくてはいけない。,給与所得者がその年の給与の収入金額が1100万円である場合、年末に確定申告をしなくてはいけない。,給与所得者がその年の給与の収入金額が1600万円である場合、年末に確定申告をしなくてはいけない。,給与所得者がその年の給与の収入金額が2500万円である場合、年末に確定申告をしなくてもよい。,給与所得者がその年の給与の収入金額が5000万円を超えるものは年末に確定申告をしなくてもよい。,1,給与所得者がその年の給与の収入金額が2100万円である場合、年末に確定申告をしなくてはいけない。,給与所得者について、次の場合には年末に確定申告が必要となる。#・その年中に支払を受ける給与の収入金額が2000万円を超えるもの。#１カ所からの給与等の支払を受けている者で、給与所得及び退職所得以外の所得金額の合計が20万円を超える者#・２カ所以上から給与等の支払を受けている者で年末調整を受けていない従たる給与等の金額と給与所得及び退職所得以外の所得金額の合計金額が20万円を超える者#同族会社の役員等で、その同族会社からの貸付金の利子または資産の賃貸料を受け取っている者,14
SECT002,Q0720,所得税２,次の記述のうち、正しいものを選びなさい。,１か所から給与を受ける給与所得者で、給与以外の収入金額の合計が21万円である人は確定申告をしなくてはいけない,１か所から給与を受ける給与所得者で、給与以外の収入金額の合計が11万円である人は確定申告をしなくてはいけない,１か所から給与を受ける給与所得者で、給与以外の収入金額の合計が6万円である人は確定申告をしなくてはいけない,１か所から給与を受ける給与所得者で、給与以外の収入金額の合計が36万円を超える人は確定申告をしなくてもよい,１か所から給与を受ける給与所得者で、給与以外の収入金額の合計が50万円を超える人は確定申告をしなくてもよい,1,１か所から給与を受ける給与所得者で、給与以外の収入金額の合計が21万円である人は確定申告をしなくてはいけない,給与所得者について、次の場合には年末に確定申告が必要となる。#・その年中に支払を受ける給与の収入金額が2000万円を超えるもの。#１カ所からの給与等の支払を受けている者で、給与所得及び退職所得以外の所得金額の合計が20万円を超える者#・２カ所以上から給与等の支払を受けている者で年末調整を受けていない従たる給与等の金額と給与所得及び退職所得以外の所得金額の合計金額が20万円を超える者#同族会社の役員等で、その同族会社からの貸付金の利子または資産の賃貸料を受け取っている者,14
[EOF]